time,open,high,low,close
1701290400.0,1.0978,1.09786,1.09765,1.09769
1701290700.0,1.09769,1.09797,1.09766,1.09786
1701291000.0,1.09786,1.09797,1.0977,1.09781
1701291300.0,1.09779,1.09829,1.09777,1.09824
1701291600.0,1.09824,1.09832,1.09808,1.09812
1701291900.0,1.09812,1.09813,1.09787,1.09802
1701292200.0,1.09802,1.09802,1.09772,1.09786
1701292500.0,1.09786,1.09787,1.09741,1.09753
1701292800.0,1.09753,1.09758,1.09731,1.09735
1701293100.0,1.09735,1.09739,1.0972,1.09723
1701293400.0,1.09724,1.09735,1.09721,1.09727
1701293700.0,1.09726,1.09729,1.09705,1.09711
1701294000.0,1.09711,1.0974,1.0971,1.09736
1701294300.0,1.09737,1.09748,1.0972,1.09722
1701294600.0,1.09722,1.09728,1.09705,1.09718
1701294900.0,1.09718,1.09729,1.09714,1.09717
1701295200.0,1.0972,1.09736,1.0972,1.09723
1701295500.0,1.09721,1.09729,1.09715,1.09723
1701295800.0,1.09725,1.09732,1.09722,1.09725
1701296100.0,1.09725,1.09738,1.09725,1.09731
1701296400.0,1.09733,1.09743,1.09731,1.09738
1701296700.0,1.09738,1.09742,1.09731,1.09732
1701297000.0,1.09732,1.09733,1.09722,1.09726
1701297300.0,1.09726,1.09733,1.09723,1.09727
1701297600.0,1.09729,1.09729,1.09717,1.09718
1701297900.0,1.09718,1.09719,1.09711,1.09711
1701298200.0,1.09712,1.09712,1.09698,1.09698
1701298500.0,1.09697,1.09699,1.0968,1.09691
1701298800.0,1.09686,1.09713,1.09681,1.09703
1701299100.0,1.09703,1.09717,1.09686,1.09694
1701299400.0,1.09692,1.09709,1.09674,1.09685
1701299700.0,1.09685,1.09712,1.09683,1.09703
1701300000.0,1.09702,1.09703,1.09674,1.09696
1701300300.0,1.09697,1.0971,1.09685,1.09693
1701300600.0,1.09687,1.09696,1.09683,1.09696
1701300900.0,1.09696,1.09696,1.0968,1.09683
1701301500.0,1.09696,1.09697,1.09675,1.09675
1701301800.0,1.09679,1.09688,1.09675,1.09684
1701302400.0,1.097,1.09713,1.097,1.09706
1701303000.0,1.09716,1.09735,1.09713,1.0972
1701303300.0,1.09718,1.09731,1.09717,1.09723
1701303600.0,1.09722,1.09727,1.09719,1.09727
1701303900.0,1.09727,1.09729,1.09722,1.09723
1701304200.0,1.09723,1.09725,1.09718,1.09722
1701304500.0,1.09722,1.09723,1.09718,1.09723
1701304800.0,1.09723,1.09723,1.09722,1.09722
1701305400.0,1.09728,1.09728,1.09721,1.09723
1701305700.0,1.09723,1.09731,1.09722,1.09728
